Id,Label,Eigenvector Centrality,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Authority,Hub,Clustering Coefficient,Weighted Clustering Coefficient,Strenght
dragon,dragon,0.023187853927567625,4,4.0,2.438775510204082,0.1668135151418222,2,4,6,9.0,4.0,5.0,2.966772E-4,2.966772E-4,0.56666666,0.54444444,9.0
osprei,osprei,0.013424373380129077,11,3.0,2.4659863945578233,0.6927597711832731,2,4,6,9.0,5.0,4.0,2.966772E-4,2.966772E-4,0.36666667,0.47777778,9.0
sabl,sabl,0.038086803570104855,24,4.0,2.401360544217687,0.6547088769709958,4,5,9,10.0,5.0,5.0,4.9446203E-4,4.9446203E-4,0.6964286,0.55,10.0
ew,ew,0.03560634902737269,8,3.0,2.3843537414965987,0.2656701429588358,4,6,10,11.0,5.0,6.0,4.9446203E-4,4.9446203E-4,0.74444443,0.7373737,11.0
walley,walley,0.01746116326320753,28,4.0,2.693877551020408,86.38442873991933,5,7,12,16.0,8.0,8.0,5.933544E-4,5.933544E-4,0.14444445,0.08238637,16.0
newt,newt,0.054110497792884175,4,4.0,2.425170068027211,5.23335392956998,8,7,15,15.0,8.0,7.0,8.9003163E-4,8.9003163E-4,0.32575756,0.20476191,15.0
mallard,mallard,0.028230521641195928,32,4.0,2.5272108843537415,0.08770903010033446,4,2,6,6.0,4.0,2.0,4.9446203E-4,4.9446203E-4,0.35,0.23333335,6.0
jackrabbit,jackrabbit,0.03765512901257536,9,4.0,2.5,1.4666063406330745,5,4,9,10.0,5.0,5.0,5.933544E-4,5.933544E-4,0.5138889,0.52500004,10.0
sloth,sloth,0.07135242822945007,17,3.0,2.3503401360544216,15.569249269262768,9,7,16,16.0,9.0,7.0,9.889241E-4,9.889241E-4,0.4904762,0.42916667,16.0
squid,squid,0.011706646784757547,4,3.0,2.438775510204082,14.338604312527744,3,5,8,10.0,5.0,5.0,3.9556963E-4,3.9556963E-4,0.3809524,0.22857143,10.0
vole,vole,0.044886489022245554,17,3.0,2.4047619047619047,6.5774956584488,6,8,14,17.0,9.0,8.0,6.9224683E-4,6.9224683E-4,0.43589744,0.37556562,17.0
